8	9.69	99.88	26.19
13	7.38	15.18	24.71
18	7.93	21.59	23.71
23	6.65	12.92	23.76
28	6.31	15.73	27.12
33	5.97	15.63	27.87
38	5.97	14.79	28.12
43	5.74	12.51	29.64
48	4.78	9.55	28.77
53	4.75	8.46	31.15
58	4.63	9.08	29.68
63	4.37	7.32	26.74
68	4.38	6.21	26.13
73	4.32	6.31	26.09
78	3.88	4.66	24.5
83	3.86	6.77	23.49
88	3.23	5.55	22.56
93	3.24	5.58	21.62
98	2.97	5.44	20.89
103	2.91	5.39	20.73
108	2.71	7.57	20.46
113	2.62	7.27	20.16
118	2.63	6.99	19.77
123	2.33	6.68	19.26
128	2.31	5.62	19.08
133	2.25	5.35	18.76
138	2.2	5.23	18.4
143	2.18	5.0	17.96
148	2.05	5.4	17.77
153	2.04	4.8	17.32
158	2.04	4.15	17.08
163	2.01	4.62	16.86
168	1.87	4.22	16.49
173	1.83	4.14	16.78
178	1.8	4.18	16.49
183	1.78	4.13	16.41
188	1.71	4.08	16.19
193	1.7	4.0	16.07
198	1.7	4.29	16.05
203	1.49	3.6	15.79
208	1.38	3.43	15.71
213	1.34	3.14	15.46
218	1.24	3.14	16.33
223	1.22	3.13	16.18
228	1.21	3.07	15.85
233	1.21	3.09	15.74
238	1.17	3.14	15.72
243	1.16	3.15	15.74
248	1.09	3.06	15.69
253	1.09	3.23	16.11
258	1.11	3.13	16.11
